,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_bin,param_max_depth,param_min_child_samples,param_min_child_weight,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,param_subsample_freq,params
0,-0.003058214364662706,-0.003143946265799794,-0.003097696357526547,-0.003038423567274989,-0.0029081663449259353,-0.0030492895459268182,7.926666036919486e-05,1,0.9048321723937989,0.04127003389317463,0.04843463897705078,0.0004456864200239147,0.6640415835413256,0.02853983686604182,468,15,34,4.1412449129921365,48,151,0.0016514036651705025,1.2071305164998514,3.8394062368138067,0.20780874563647306,2,"{'colsample_bytree': 0.6640415835413256, 'learning_rate': 0.02853983686604182, 'max_bin': 468, 'max_depth': 15, 'min_child_samples': 34, 'min_child_weight': 4.1412449129921365, 'n_estimators': 48, 'num_leaves': 151, 'reg_alpha': 0.0016514036651705025, 'reg_lambda': 1.2071305164998514, 'scale_pos_weight': 3.8394062368138067, 'subsample': 0.20780874563647306, 'subsample_freq': 2}"
1,-0.0030109618375165617,-0.003120359780174461,-0.003054991441799924,-0.0030067792471336003,-0.0028841849889105478,-0.003015455375584007,7.732381567271602e-05,1,0.7122935295104981,0.01745225745770878,0.04274740219116211,0.0007788442695359123,0.8349553422213138,0.05842928269761146,169,38,43,0.6232231771466303,31,77,0.03490731198346208,101.83733522374281,9.117719285361664,0.9434498998829862,4,"{'colsample_bytree': 0.8349553422213138, 'learning_rate': 0.05842928269761146, 'max_bin': 169, 'max_depth': 38, 'min_child_samples': 43, 'min_child_weight': 0.6232231771466303, 'n_estimators': 31, 'num_leaves': 77, 'reg_alpha': 0.03490731198346208, 'reg_lambda': 101.83733522374281, 'scale_pos_weight': 9.117719285361664, 'subsample': 0.9434498998829862, 'subsample_freq': 4}"
2,-0.0030183244560730922,-0.0031391914987486873,-0.0030675804251427312,-0.003026025404106231,-0.002900099482794579,-0.0030302440318196117,7.792365808432218e-05,1,0.6744200706481933,0.05456212773350006,0.04921789169311523,0.0033593889808283726,0.6779330049204607,0.06877728743793542,75,19,10,4.536708071528609,32,153,0.016957494783371215,135.58334942470017,20.210303141119244,0.4242522479577252,2,"{'colsample_bytree': 0.6779330049204607, 'learning_rate': 0.06877728743793542, 'max_bin': 75, 'max_depth': 19, 'min_child_samples': 10, 'min_child_weight': 4.536708071528609, 'n_estimators': 32, 'num_leaves': 153, 'reg_alpha': 0.016957494783371215, 'reg_lambda': 135.58334942470017, 'scale_pos_weight': 20.210303141119244, 'subsample': 0.4242522479577252, 'subsample_freq': 2}"
3,-0.004023661900027665,-0.00409381647527382,-0.00406289142107186,-0.00396602363701067,-0.003804380476388989,-0.003990155404751911,0.0001022278143759036,1,2.7953226566314697,0.06909522166191746,0.05517711639404297,0.0007334854120576277,0.8249583953429453,0.0022066991249460105,309,33,27,0.9546408466460131,80,176,0.44434003615332596,0.027365826047609298,0.40285443186583986,0.8119006573361338,3,"{'colsample_bytree': 0.8249583953429453, 'learning_rate': 0.0022066991249460105, 'max_bin': 309, 'max_depth': 33, 'min_child_samples': 27, 'min_child_weight': 0.9546408466460131, 'n_estimators': 80, 'num_leaves': 176, 'reg_alpha': 0.44434003615332596, 'reg_lambda': 0.027365826047609298, 'scale_pos_weight': 0.40285443186583986, 'subsample': 0.8119006573361338, 'subsample_freq': 3}"
4,-0.003649336654632384,-0.003719833897176077,-0.0036798626986816003,-0.003600287862212073,-0.0034506370189564014,-0.003619992171768191,9.325518559197012e-05,1,1.576840353012085,0.04507747456978401,0.04804506301879883,0.0014284083769602414,0.8198213766428692,0.007517239253342655,275,29,45,7.170339808483254,54,134,0.0025842551005350587,1.4291060144074295,2.5734455709700637,0.8500319141731616,2,"{'colsample_bytree': 0.8198213766428692, 'learning_rate': 0.007517239253342655, 'max_bin': 275, 'max_depth': 29, 'min_child_samples': 45, 'min_child_weight': 7.170339808483254, 'n_estimators': 54, 'num_leaves': 134, 'reg_alpha': 0.0025842551005350587, 'reg_lambda': 1.4291060144074295, 'scale_pos_weight': 2.5734455709700637, 'subsample': 0.8500319141731616, 'subsample_freq': 2}"
5,-0.002874076154201621,-0.002965797409550763,-0.0029330536145714095,-0.002911438173587591,-0.0027813361460112223,-0.0028931399452389634,6.335647031607502e-05,1,0.7412922382354736,0.024630423237957857,0.0475426197052002,0.001205652862481522,0.7936112071942274,0.07563790218678242,103,10,40,3.7258605218547807,57,112,0.13839989115540724,0.3253610272050476,5.850656156281449,0.5799103171699905,1,"{'colsample_bytree': 0.7936112071942274, 'learning_rate': 0.07563790218678242, 'max_bin': 103, 'max_depth': 10, 'min_child_samples': 40, 'min_child_weight': 3.7258605218547807, 'n_estimators': 57, 'num_leaves': 112, 'reg_alpha': 0.13839989115540724, 'reg_lambda': 0.3253610272050476, 'scale_pos_weight': 5.850656156281449, 'subsample': 0.5799103171699905, 'subsample_freq': 1}"
6,-0.0028924779776359753,-0.00299491425946934,-0.0029373064841269054,-0.0029079919857707645,-0.0027807067471435965,-0.0029026793012136365,7.030714780654138e-05,1,1.320887851715088,0.08027462283046927,0.051740169525146484,0.002048122433194928,0.7468317434009265,0.035540927532494104,196,35,30,5.946240888864876,72,90,0.0862045007655013,0.9925231015553735,220.37910982722957,0.6591748437024733,3,"{'colsample_bytree': 0.7468317434009265, 'learning_rate': 0.035540927532494104, 'max_bin': 196, 'max_depth': 35, 'min_child_samples': 30, 'min_child_weight': 5.946240888864876, 'n_estimators': 72, 'num_leaves': 90, 'reg_alpha': 0.0862045007655013, 'reg_lambda': 0.9925231015553735, 'scale_pos_weight': 220.37910982722957, 'subsample': 0.6591748437024733, 'subsample_freq': 3}"
7,-0.002892336249979426,-0.0030039781712978444,-0.0029629517868854077,-0.002926865166956241,-0.0027977873541595363,-0.0029167832914497155,7.013331676498703e-05,1,0.6778636455535889,0.025969306084047055,0.05331888198852539,0.009557974109972221,0.717361227076125,0.06918603669668356,261,34,17,0.5114404233151502,66,15,0.0034907469235255554,16.007011110145196,0.5328730324981248,0.5868429613549397,4,"{'colsample_bytree': 0.717361227076125, 'learning_rate': 0.06918603669668356, 'max_bin': 261, 'max_depth': 34, 'min_child_samples': 17, 'min_child_weight': 0.5114404233151502, 'n_estimators': 66, 'num_leaves': 15, 'reg_alpha': 0.0034907469235255554, 'reg_lambda': 16.007011110145196, 'scale_pos_weight': 0.5328730324981248, 'subsample': 0.5868429613549397, 'subsample_freq': 4}"
8,-0.003532398857718004,-0.0035964782151482375,-0.00355973932466328,-0.003485012651952607,-0.0033383101671649556,-0.0035023884011445945,8.973914177002451e-05,1,0.6487771987915039,0.025059163776255663,0.03963956832885742,0.0015205403054339857,0.8821911945239713,0.02519085390684862,439,18,20,2.1142217313132354,20,80,0.023851497678524364,0.0012834871886344473,40.3541112921536,0.47774154678615643,1,"{'colsample_bytree': 0.8821911945239713, 'learning_rate': 0.02519085390684862, 'max_bin': 439, 'max_depth': 18, 'min_child_samples': 20, 'min_child_weight': 2.1142217313132354, 'n_estimators': 20, 'num_leaves': 80, 'reg_alpha': 0.023851497678524364, 'reg_lambda': 0.0012834871886344473, 'scale_pos_weight': 40.3541112921536, 'subsample': 0.47774154678615643, 'subsample_freq': 1}"
9,-0.0030315904526227212,-0.0031346285202350386,-0.0030850445509117254,-0.003027861918645691,-0.0029043438279457785,-0.0030366937592151907,7.687524843392014e-05,1,0.4765753269195557,0.015265109849927502,0.04451661109924317,0.0007663145127492235,0.5014521229018973,0.04321753967138224,377,12,29,2.7472210168692914,45,39,0.37614235923757955,13.319431807397134,34.660466039404234,0.11687042130940428,2,"{'colsample_bytree': 0.5014521229018973, 'learning_rate': 0.04321753967138224, 'max_bin': 377, 'max_depth': 12, 'min_child_samples': 29, 'min_child_weight': 2.7472210168692914, 'n_estimators': 45, 'num_leaves': 39, 'reg_alpha': 0.37614235923757955, 'reg_lambda': 13.319431807397134, 'scale_pos_weight': 34.660466039404234, 'subsample': 0.11687042130940428, 'subsample_freq': 2}"
